feature_set,max_depth,min_samples_leaf,trained_months,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,trade_count,turnover,hard_pass_relaxed
market_plus_time,5,3,10,230.12720488765166,865.8087713730171,230.12720488765166,-84.4841965414109,130,1052.0,False
market_plus_time,8,3,10,242.78423462597232,65.42016420377541,65.42016420377541,-89.17079470865643,134,1084.0,False
market_plus_time,12,3,10,242.78423462597232,64.46834714988017,64.46834714988017,-89.17079470865643,134,1088.0,False
market_plus_time,-1,3,10,242.78423462597232,64.46834714988017,64.46834714988017,-89.17079470865643,134,1088.0,False
market_plus_time,5,2,10,146.81000298502,53.36851933893614,53.36851933893614,-89.57515043876167,139,1116.0,False
market_plus_time,8,2,10,1875.2737308478975,37.97897680542657,37.97897680542657,-87.84195033968196,127,1024.0,False
market_plus_time,6,3,10,347.55017777033623,35.77564580254866,35.77564580254866,-87.69840399275407,137,1100.0,False
market_plus_time,5,1,10,47.20145186236901,-15.274419409715911,-15.274419409715911,-93.16630004917123,132,1076.0,False
market_plus_time,4,1,10,609.36571794555,-39.02227064289985,-39.02227064289985,-86.0222635865083,142,1140.0,False
market_plus_time,4,2,10,387.01360420092357,-41.36876504730821,-41.36876504730821,-89.57515043876167,133,1060.0,False
market_plus_time,3,5,10,25.855790345592066,-52.3761617695216,-52.3761617695216,-96.96563691383278,140,1116.0,False
market_plus_time,12,1,10,-54.44054547489807,35.739425533218274,-54.44054547489807,-96.94910407208106,138,1150.0,False
market_plus_time,12,2,10,1875.2737308478975,-56.09841654517972,-56.09841654517972,-90.31366198067214,125,1004.0,False
market_plus_time,-1,2,10,1875.2737308478975,-56.09841654517972,-56.09841654517972,-90.31366198067214,125,1004.0,False
market_only,6,3,10,-57.096910738310314,99.43668478464356,-57.096910738310314,-93.4317481746305,133,1064.0,False
market_plus_time,8,1,10,-57.738356425318656,-10.648107979874698,-57.738356425318656,-96.96703354707856,134,1088.0,False
