candidate_id,family,rule,leverage,lookback,threshold_bps,sample_month_count,non_positive_months,total_sample_return_pct,losing_sample_months,min_monthly_return_pct,max_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_month_drawdown_pct,selected_candidate_count,symbol
single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,1536,50,4,"['2023-07', '2024-06', '2026-05']",-90.24036671703858,3,-92.6052237702051,31.98010297645093,0,15,60.0,0.060000000000000005,-94.49639971406448,1,HYPEUSDT
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback16_threshold_bps100,single_symbol,symbol_momentum,4.0,16,100,4,"['2023-07', '2024-06', '2025-08']",-90.37238105361489,3,-81.89211848690215,852.9970350387435,260,1642,6604.0,6.604,-99.09692116011954,1,SOLUSDT
single_symbol_symbol_momentum_lev1p0_symbolETHUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,1.0,96,20,4,"['2023-07', '2024-06', '2026-05']",-91.04325593804492,3,-64.31471140254529,10.381574381649772,184,1055,1127.0,1.127,-91.16510350998047,1,ETHUSDT
single_symbol_symbol_momentum_lev2p0_symbolETHUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,2.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-92.31293974174972,3,-72.38073077404677,33.52219086525685,311,1817,3672.0,3.672,-94.3938086898088,1,ETHUSDT
single_symbol_symbol_momentum_lev2p0_symbolSOLUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,2.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-92.46283678865066,3,-74.74070602786199,93.99876820041628,509,2357,4834.0,4.834,-96.36550272038838,1,SOLUSDT
single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback96_threshold_bps50,single_symbol,symbol_momentum,2.0,96,50,4,"['2023-07', '2024-06', '2025-08']",-92.64365267841615,3,-90.50033012774146,169.53149787178626,166,1011,2072.0,2.072,-97.97163160569389,1,AVAXUSDT
cross_section_long_weak_short_strong_lev1p0_lookback96_threshold_bps200,cross_section,long_weak_short_strong,1.0,96,200,4,"['2023-07', '2024-06', '2026-05']",-92.67114280934243,3,-73.29127176292876,49.743912056940154,1206,5151,2576.0,2.5760000000000005,-92.73251090482366,1,
cross_section_long_weak_short_strong_lev1p0_lookback96_threshold_bps0,cross_section,long_weak_short_strong,1.0,96,0,4,"['2023-07', '2024-06', '2026-05']",-93.22133173040743,3,-74.42452355452333,49.71585340844334,1250,5292,2647.0,2.6470000000000002,-93.27809282572997,1,
cross_section_long_weak_short_strong_lev1p0_lookback96_threshold_bps50,cross_section,long_weak_short_strong,1.0,96,50,4,"['2023-07', '2024-06', '2026-05']",-93.22133173040743,3,-74.42452355452333,49.71585340844334,1250,5292,2647.0,2.6470000000000002,-93.27809282572997,1,
cross_section_long_weak_short_strong_lev1p0_lookback96_threshold_bps100,cross_section,long_weak_short_strong,1.0,96,100,4,"['2023-07', '2024-06', '2026-05']",-93.23606406273187,3,-74.44332787150638,49.71585340844334,1250,5289,2645.0,2.6450000000000005,-93.29270179705101,1,
single_symbol_symbol_momentum_lev1p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,1536,50,4,"['2023-07', '2024-06', '2026-05']",-93.26509633851099,3,-85.14142141868582,20.96569408550435,2,98,101.0,0.101,-93.82005056601128,1,SOLUSDT
single_symbol_symbol_momentum_lev1p0_symbolSOLUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,1.0,1536,20,4,"['2023-07', '2024-06', '2026-05']",-93.32650440692638,3,-85.26574833859914,22.69597668610872,2,95,109.0,0.10900000000000001,-93.87639862631332,1,SOLUSDT
single_symbol_symbol_momentum_lev1p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,1536,100,4,"['2023-07', '2024-06', '2026-05']",-93.34022495749123,3,-85.34797557940095,19.465684993747033,7,94,95.0,0.095,-93.88898860724831,1,SOLUSDT
single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback16_threshold_bps100,single_symbol,symbol_momentum,4.0,16,100,4,"['2023-07', '2024-06', '2025-08']",-93.40694800927885,3,-83.73445254521708,100.75307620346643,0,1266,5088.0,5.088,-96.9970692159588,1,DOGEUSDT
single_symbol_symbol_reversal_lev1p0_symbolXRPUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,1.0,1536,20,4,"['2024-06', '2025-08', '2026-05']",-94.20781339163719,3,-84.49072842488376,6.429460274722176,15,96,113.0,0.11300000000000002,-94.96226201640752,1,XRPUSDT
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,384,100,4,"['2023-07', '2025-08', '2026-05']",-94.85248736961519,3,-98.67941220591167,1651.2009278475803,79,424,1704.0,1.704,-99.81086145727114,1,LINKUSDT
single_symbol_symbol_momentum_lev2p0_symbolADAUSDT_lookback16_threshold_bps20,single_symbol,symbol_momentum,2.0,16,20,4,"['2023-07', '2024-06', '2025-08']",-95.0722727163106,3,-85.48463899782334,156.68637333549512,604,2581,5862.0,5.862,-98.17665871174597,1,ADAUSDT
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps50,single_symbol,symbol_reversal,4.0,96,50,4,"['2023-07', '2025-08', '2026-05']",-95.35224868471349,3,-98.56933404239358,1118.0377759620303,166,1011,4144.0,4.144,-99.86926333391783,1,AVAXUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,384,20,4,"['2023-07', '2024-06', '2025-08']",-95.37573222222284,3,-97.07494998302664,3581.8785919619186,64,339,1652.0,1.6520000000000001,-99.89143745813959,1,AVAXUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback96_threshold_bps50,single_symbol,symbol_reversal,4.0,96,50,4,"['2023-07', '2025-08', '2026-05']",-95.70357448737839,3,-93.24957523941488,707.5689883396558,233,1011,4076.0,4.0760000000000005,-99.84895484673648,1,BNBUSDT
single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,2.0,96,100,4,"['2023-07', '2024-06', '2025-08']",-95.94065534983123,3,-91.02859291446916,118.60488744195324,206,1017,2048.0,2.048,-98.44538383409835,1,AVAXUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,4.0,96,20,4,"['2023-07', '2025-08', '2026-05']",-96.02132212419204,3,-93.74514718831138,784.9271565071825,175,916,3884.0,3.8839999999999995,-99.84585599588692,1,BNBUSDT
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,4.0,96,100,4,"['2023-07', '2024-06', '2026-05']",-96.11829714981165,3,-72.9178263596339,42.81494687389238,188,846,3384.0,3.3840000000000003,-96.11829714981168,1,ETHUSDT
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol,symbol_reversal,4.0,384,20,4,"['2023-07', '2025-08', '2026-05']",-96.21484195286929,3,-98.52047975778753,1475.4469230775712,79,411,1976.0,1.976,-99.8430258877919,1,LINKUSDT
single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,2.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-96.4097167221139,3,-83.15239229458248,89.34305098131223,573,2411,4930.0,4.93,-98.15889900557161,1,AVAXUSDT
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps0,cross_section,long_strong_short_weak,2.0,384,0,4,"['2023-07', '2024-06', '2025-08']",-96.40981624821246,3,-93.82484089845018,44.60584169129429,436,2146,2146.0,2.1460000000000004,-98.01638989990838,1,
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps50,cross_section,long_strong_short_weak,2.0,384,50,4,"['2023-07', '2024-06', '2025-08']",-96.40981624821246,3,-93.82484089845018,44.60584169129429,436,2146,2146.0,2.1460000000000004,-98.01638989990838,1,
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps100,cross_section,long_strong_short_weak,2.0,384,100,4,"['2023-07', '2024-06', '2025-08']",-96.40981624821246,3,-93.82484089845018,44.60584169129429,436,2146,2146.0,2.1460000000000004,-98.01638989990838,1,
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps200,cross_section,long_strong_short_weak,2.0,384,200,4,"['2023-07', '2024-06', '2025-08']",-96.40981624821246,3,-93.82484089845018,44.60584169129429,436,2146,2146.0,2.1460000000000004,-98.01638989990838,1,
single_symbol_symbol_reversal_lev2p0_symbolADAUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,2.0,96,100,4,"['2023-07', '2025-08', '2026-05']",-96.45318938880023,3,-93.19868297048033,116.51221879415318,189,976,1964.0,1.9640000000000002,-98.56345445089339,1,ADAUSDT
single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps50,single_symbol,symbol_reversal,4.0,384,50,4,"['2023-07', '2025-08', '2026-05']",-96.6892685042064,3,-98.52157556483633,1270.9967223490728,76,421,1760.0,1.7600000000000002,-99.87354116903377,1,LINKUSDT
single_symbol_symbol_momentum_lev4p0_symbolBTCUSDT_lookback16_threshold_bps20,single_symbol,symbol_momentum,4.0,16,20,4,"['2023-07', '2025-08', '2026-05']",-97.06945711617533,3,-94.14557583094508,187.01487084000794,592,2530,10424.0,10.424,-98.45951890489548,1,BTCUSDT
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback96_threshold_bps50,single_symbol,symbol_momentum,4.0,96,50,4,"['2023-07', '2024-06', '2026-05']",-97.40964393064799,3,-77.4671740771184,89.21921113928607,199,990,3988.0,3.9879999999999995,-97.42633390115255,1,ETHUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,4.0,96,20,4,"['2023-07', '2024-06', '2025-08']",-97.48309252775219,3,-98.69473357396382,1008.8853371384627,128,817,3740.0,3.74,-99.89695377854648,1,AVAXUSDT
single_symbol_symbol_reversal_lev2p0_symbolADAUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,2.0,96,20,4,"['2023-07', '2025-08', '2026-05']",-97.56293924912572,3,-93.5901766255503,99.5619586364338,155,900,2064.0,2.064,-98.96228227740461,1,ADAUSDT
single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,4.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-97.63772957124291,3,-95.44975188771026,1739.5960595482234,518,2393,9756.0,9.756,-99.88620708545248,1,ADAUSDT
single_symbol_symbol_reversal_lev2p0_symbolADAUSDT_lookback96_threshold_bps50,single_symbol,symbol_reversal,2.0,96,50,4,"['2023-07', '2025-08', '2026-05']",-97.67569072867651,3,-93.15540994371703,93.85230675722809,217,1052,2168.0,2.168,-98.80589480300449,1,ADAUSDT
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,4.0,96,20,4,"['2023-07', '2025-08', '2026-05']",-97.75813206566252,3,-99.0849441863173,1023.1956879145605,128,817,3740.0,3.74,-99.93163245852608,1,AVAXUSDT
single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback16_threshold_bps20,single_symbol,symbol_momentum,2.0,16,20,4,"['2023-07', '2024-06', '2025-08']",-98.00883246432831,3,-85.63440984752437,77.29394131390555,576,2397,5498.0,5.498,-98.93756721160207,1,AVAXUSDT
single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,1536,50,4,"['2024-06', '2025-08', '2026-05']",-98.12117107626001,3,-93.91705933290154,23.20435811363275,16,103,444.0,0.444,-98.92487401222796,1,XRPUSDT
single_symbol_symbol_momentum_lev4p0_symbolHYPEUSDT_lookback16_threshold_bps20,single_symbol,symbol_momentum,4.0,16,20,4,"['2023-07', '2024-06', '2025-08']",-98.20533142482851,3,-98.25361665180895,2.764869868374653,0,1065,5260.0,5.26,-99.11549607632956,1,HYPEUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,384,50,4,"['2023-07', '2024-06', '2025-08']",-98.32730683937801,3,-97.51681646750806,3274.395736753958,84,451,1884.0,1.884,-99.95841831781304,1,AVAXUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,4.0,384,100,4,"['2023-07', '2024-06', '2025-08']",-98.40472005354222,3,-97.21749904666781,2755.663433526704,63,450,1824.0,1.824,-99.95510512803929,1,AVAXUSDT
single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,1536,100,4,"['2024-06', '2025-08', '2026-05']",-98.49536269362973,3,-94.2884772021709,16.344107063513636,17,135,556.0,0.556,-99.13899842087278,1,XRPUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback16_threshold_bps100,single_symbol,symbol_momentum,4.0,16,100,4,"['2023-07', '2024-06', '2025-08']",-98.68638726281984,3,-97.70350834040156,801.3750197693008,346,1739,6980.0,6.98,-99.86204812538071,1,AVAXUSDT
