timestamp,symbol,funding_rate
2025-05-01 00:00:00+00:00,BTCUSDT,3.519e-05
2025-05-01 08:00:00+00:00,BTCUSDT,5.755e-05
2025-05-01 16:00:00.001000+00:00,BTCUSDT,-8.028e-05
2025-05-02 00:00:00+00:00,BTCUSDT,-0.00012232
2025-05-02 08:00:00+00:00,BTCUSDT,-9.382e-05
2025-05-02 16:00:00.003000+00:00,BTCUSDT,-8.689e-05
2025-05-03 00:00:00+00:00,BTCUSDT,-5.953e-05
2025-05-03 08:00:00+00:00,BTCUSDT,3.198e-05
2025-05-03 16:00:00+00:00,BTCUSDT,-1.483e-05
2025-05-04 00:00:00.001000+00:00,BTCUSDT,3.7e-06
2025-05-04 08:00:00.001000+00:00,BTCUSDT,3.229e-05
2025-05-04 16:00:00.002000+00:00,BTCUSDT,3.745e-05
2025-05-05 00:00:00+00:00,BTCUSDT,-2.404e-05
2025-05-05 08:00:00+00:00,BTCUSDT,3.636e-05
2025-05-05 16:00:00.006000+00:00,BTCUSDT,-2.247e-05
2025-05-06 00:00:00.002000+00:00,BTCUSDT,1.978e-05
2025-05-06 08:00:00.005000+00:00,BTCUSDT,4.44e-05
2025-05-06 16:00:00+00:00,BTCUSDT,7.57e-06
2025-05-07 00:00:00.002000+00:00,BTCUSDT,1.218e-05
2025-05-07 08:00:00+00:00,BTCUSDT,-2.5e-07
2025-05-07 16:00:00.006000+00:00,BTCUSDT,1.32e-05
2025-05-08 00:00:00+00:00,BTCUSDT,2.318e-05
2025-05-08 08:00:00.001000+00:00,BTCUSDT,4.608e-05
2025-05-08 16:00:00.002000+00:00,BTCUSDT,5.728e-05
2025-05-09 00:00:00.001000+00:00,BTCUSDT,0.0001
2025-05-09 08:00:00.006000+00:00,BTCUSDT,0.0001
2025-05-09 16:00:00+00:00,BTCUSDT,4.378e-05
2025-05-10 00:00:00.001000+00:00,BTCUSDT,9.657e-05
2025-05-10 08:00:00+00:00,BTCUSDT,0.0001
2025-05-10 16:00:00.001000+00:00,BTCUSDT,4.257e-05
2025-05-11 00:00:00+00:00,BTCUSDT,0.0001
2025-05-11 08:00:00.001000+00:00,BTCUSDT,4.15e-05
2025-05-11 16:00:00.001000+00:00,BTCUSDT,0.0001
2025-05-12 00:00:00.004000+00:00,BTCUSDT,4.454e-05
2025-05-12 08:00:00+00:00,BTCUSDT,0.0001
2025-05-12 16:00:00+00:00,BTCUSDT,2.301e-05
2025-05-13 00:00:00+00:00,BTCUSDT,6.847e-05
2025-05-13 08:00:00.008000+00:00,BTCUSDT,0.0001
2025-05-13 16:00:00.001000+00:00,BTCUSDT,7.256e-05
2025-05-14 00:00:00.007000+00:00,BTCUSDT,9.921e-05
2025-05-14 08:00:00+00:00,BTCUSDT,7.542e-05
2025-05-14 16:00:00.002000+00:00,BTCUSDT,3.175e-05
2025-05-15 00:00:00+00:00,BTCUSDT,2.978e-05
2025-05-15 08:00:00.003000+00:00,BTCUSDT,5.336e-05
2025-05-15 16:00:00+00:00,BTCUSDT,1.439e-05
2025-05-16 00:00:00.001000+00:00,BTCUSDT,4.504e-05
2025-05-16 08:00:00+00:00,BTCUSDT,7.535e-05
2025-05-16 16:00:00+00:00,BTCUSDT,4.768e-05
2025-05-17 00:00:00+00:00,BTCUSDT,2.821e-05
2025-05-17 08:00:00.001000+00:00,BTCUSDT,3.34e-05
2025-05-17 16:00:00.004000+00:00,BTCUSDT,5.97e-06
2025-05-18 00:00:00+00:00,BTCUSDT,6.742e-05
2025-05-18 08:00:00+00:00,BTCUSDT,5.903e-05
2025-05-18 16:00:00+00:00,BTCUSDT,0.0001
2025-05-19 00:00:00+00:00,BTCUSDT,5.99e-05
2025-05-19 08:00:00.006000+00:00,BTCUSDT,6.04e-05
2025-05-19 16:00:00.010000+00:00,BTCUSDT,2.11e-05
2025-05-20 00:00:00+00:00,BTCUSDT,8.378e-05
2025-05-20 08:00:00.002000+00:00,BTCUSDT,7.107e-05
2025-05-20 16:00:00+00:00,BTCUSDT,1.266e-05
2025-05-21 00:00:00+00:00,BTCUSDT,8.767e-05
2025-05-21 08:00:00.001000+00:00,BTCUSDT,7.147e-05
2025-05-21 16:00:00.004000+00:00,BTCUSDT,5.119e-05
2025-05-22 00:00:00.001000+00:00,BTCUSDT,0.0001
2025-05-22 08:00:00+00:00,BTCUSDT,0.0001
2025-05-22 16:00:00.002000+00:00,BTCUSDT,0.0001
2025-05-23 00:00:00.006000+00:00,BTCUSDT,9.321e-05
2025-05-23 08:00:00+00:00,BTCUSDT,7.261e-05
2025-05-23 16:00:00.007000+00:00,BTCUSDT,8.614e-05
2025-05-24 00:00:00.010000+00:00,BTCUSDT,3.524e-05
2025-05-24 08:00:00+00:00,BTCUSDT,4.59e-05
2025-05-24 16:00:00.003000+00:00,BTCUSDT,7.837e-05
2025-05-25 00:00:00.004000+00:00,BTCUSDT,9.794e-05
2025-05-25 08:00:00+00:00,BTCUSDT,5.113e-05
2025-05-25 16:00:00+00:00,BTCUSDT,3.651e-05
2025-05-26 00:00:00+00:00,BTCUSDT,7.331e-05
2025-05-26 08:00:00+00:00,BTCUSDT,0.0001
2025-05-26 16:00:00.002000+00:00,BTCUSDT,9.782e-05
2025-05-27 00:00:00.003000+00:00,BTCUSDT,7.65e-05
2025-05-27 08:00:00.001000+00:00,BTCUSDT,7.266e-05
2025-05-27 16:00:00.005000+00:00,BTCUSDT,2.476e-05
2025-05-28 00:00:00.002000+00:00,BTCUSDT,3.26e-05
2025-05-28 08:00:00.003000+00:00,BTCUSDT,2.164e-05
2025-05-28 16:00:00.002000+00:00,BTCUSDT,5.368e-05
2025-05-29 00:00:00+00:00,BTCUSDT,3.186e-05
2025-05-29 08:00:00.006000+00:00,BTCUSDT,2.812e-05
2025-05-29 16:00:00+00:00,BTCUSDT,8.379e-05
2025-05-30 00:00:00.003000+00:00,BTCUSDT,2.622e-05
2025-05-30 08:00:00.003000+00:00,BTCUSDT,3.849e-05
2025-05-30 16:00:00+00:00,BTCUSDT,7.392e-05
2025-05-31 00:00:00+00:00,BTCUSDT,8.506e-05
2025-05-31 08:00:00+00:00,BTCUSDT,7.552e-05
2025-05-31 16:00:00+00:00,BTCUSDT,4.687e-05
2025-06-01 00:00:00.001000+00:00,BTCUSDT,-5.82e-06
2025-06-01 08:00:00.002000+00:00,BTCUSDT,2.335e-05
2025-06-01 16:00:00+00:00,BTCUSDT,4.117e-05
2025-06-02 00:00:00.001000+00:00,BTCUSDT,-6.42e-06
2025-06-02 08:00:00+00:00,BTCUSDT,5.593e-05
2025-06-02 16:00:00+00:00,BTCUSDT,4.467e-05
2025-06-03 00:00:00+00:00,BTCUSDT,5.005e-05
2025-06-03 08:00:00+00:00,BTCUSDT,6.066e-05
2025-06-03 16:00:00.001000+00:00,BTCUSDT,4.456e-05
2025-06-04 00:00:00+00:00,BTCUSDT,-1.1e-07
2025-06-04 08:00:00+00:00,BTCUSDT,2.611e-05
2025-06-04 16:00:00+00:00,BTCUSDT,9.62e-06
2025-06-05 00:00:00.016000+00:00,BTCUSDT,7.4e-07
2025-06-05 08:00:00+00:00,BTCUSDT,2.871e-05
2025-06-05 16:00:00+00:00,BTCUSDT,5.156e-05
2025-06-06 00:00:00.002000+00:00,BTCUSDT,-3.491e-05
2025-06-06 08:00:00+00:00,BTCUSDT,-3.03e-05
2025-06-06 16:00:00.006000+00:00,BTCUSDT,-2.995e-05
2025-06-07 00:00:00+00:00,BTCUSDT,-2.89e-05
2025-06-07 08:00:00+00:00,BTCUSDT,-3.158e-05
2025-06-07 16:00:00.002000+00:00,BTCUSDT,2.94e-06
2025-06-08 00:00:00+00:00,BTCUSDT,4.808e-05
2025-06-08 08:00:00+00:00,BTCUSDT,5.613e-05
2025-06-08 16:00:00+00:00,BTCUSDT,-3.602e-05
2025-06-09 00:00:00+00:00,BTCUSDT,-2.164e-05
2025-06-09 08:00:00.001000+00:00,BTCUSDT,4.024e-05
2025-06-09 16:00:00.001000+00:00,BTCUSDT,3.057e-05
2025-06-10 00:00:00+00:00,BTCUSDT,6.374e-05
2025-06-10 08:00:00.001000+00:00,BTCUSDT,0.0001
2025-06-10 16:00:00.003000+00:00,BTCUSDT,8.165e-05
2025-06-11 00:00:00+00:00,BTCUSDT,8.779e-05
2025-06-11 08:00:00+00:00,BTCUSDT,8.39e-05
2025-06-11 16:00:00.010000+00:00,BTCUSDT,5.039e-05
2025-06-12 00:00:00.002000+00:00,BTCUSDT,1.856e-05
2025-06-12 08:00:00.003000+00:00,BTCUSDT,7.247e-05
2025-06-12 16:00:00.001000+00:00,BTCUSDT,1.198e-05
2025-06-13 00:00:00+00:00,BTCUSDT,-1.801e-05
2025-06-13 08:00:00.001000+00:00,BTCUSDT,-2.7e-06
2025-06-13 16:00:00.004000+00:00,BTCUSDT,3.857e-05
2025-06-14 00:00:00+00:00,BTCUSDT,1.958e-05
2025-06-14 08:00:00+00:00,BTCUSDT,3.858e-05
2025-06-14 16:00:00+00:00,BTCUSDT,1.135e-05
2025-06-15 00:00:00.005000+00:00,BTCUSDT,-3.641e-05
2025-06-15 08:00:00.009000+00:00,BTCUSDT,1.439e-05
2025-06-15 16:00:00+00:00,BTCUSDT,7.369e-05
2025-06-16 00:00:00+00:00,BTCUSDT,9.36e-06
2025-06-16 08:00:00+00:00,BTCUSDT,5.07e-05
2025-06-16 16:00:00.003000+00:00,BTCUSDT,2.793e-05
2025-06-17 00:00:00+00:00,BTCUSDT,1.847e-05
2025-06-17 08:00:00.006000+00:00,BTCUSDT,5.776e-05
2025-06-17 16:00:00.001000+00:00,BTCUSDT,2.211e-05
2025-06-18 00:00:00.001000+00:00,BTCUSDT,-1.752e-05
2025-06-18 08:00:00.001000+00:00,BTCUSDT,3.695e-05
2025-06-18 16:00:00.001000+00:00,BTCUSDT,6.692e-05
2025-06-19 00:00:00.005000+00:00,BTCUSDT,8.45e-06
2025-06-19 08:00:00.003000+00:00,BTCUSDT,6.16e-06
2025-06-19 16:00:00+00:00,BTCUSDT,2.396e-05
2025-06-20 00:00:00+00:00,BTCUSDT,3.565e-05
2025-06-20 08:00:00.002000+00:00,BTCUSDT,7.862e-05
2025-06-20 16:00:00.001000+00:00,BTCUSDT,2.4e-05
2025-06-21 00:00:00.002000+00:00,BTCUSDT,3.977e-05
2025-06-21 08:00:00.005000+00:00,BTCUSDT,1.933e-05
2025-06-21 16:00:00+00:00,BTCUSDT,7.44e-05
2025-06-22 00:00:00.005000+00:00,BTCUSDT,2.883e-05
2025-06-22 08:00:00+00:00,BTCUSDT,0.0001
2025-06-22 16:00:00.003000+00:00,BTCUSDT,4.145e-05
2025-06-23 00:00:00+00:00,BTCUSDT,-1.061e-05
2025-06-23 08:00:00.004000+00:00,BTCUSDT,-2.809e-05
2025-06-23 16:00:00.013000+00:00,BTCUSDT,4.889e-05
2025-06-24 00:00:00.003000+00:00,BTCUSDT,1.245e-05
2025-06-24 08:00:00+00:00,BTCUSDT,1.218e-05
2025-06-24 16:00:00+00:00,BTCUSDT,4.47e-06
2025-06-25 00:00:00.005000+00:00,BTCUSDT,-3.174e-05
2025-06-25 08:00:00+00:00,BTCUSDT,2.747e-05
2025-06-25 16:00:00.005000+00:00,BTCUSDT,9.62e-06
2025-06-26 00:00:00+00:00,BTCUSDT,1.41e-06
2025-06-26 08:00:00.006000+00:00,BTCUSDT,3.805e-05
2025-06-26 16:00:00.007000+00:00,BTCUSDT,6.82e-06
2025-06-27 00:00:00+00:00,BTCUSDT,1.113e-05
2025-06-27 08:00:00+00:00,BTCUSDT,2.663e-05
2025-06-27 16:00:00.009000+00:00,BTCUSDT,2.557e-05
2025-06-28 00:00:00.001000+00:00,BTCUSDT,-1.161e-05
2025-06-28 08:00:00.002000+00:00,BTCUSDT,6.053e-05
2025-06-28 16:00:00+00:00,BTCUSDT,4.434e-05
2025-06-29 00:00:00.004000+00:00,BTCUSDT,1.25e-05
2025-06-29 08:00:00.001000+00:00,BTCUSDT,5.36e-05
2025-06-29 16:00:00.001000+00:00,BTCUSDT,0.0001
2025-06-30 00:00:00+00:00,BTCUSDT,1.084e-05
2025-06-30 08:00:00.005000+00:00,BTCUSDT,2.959e-05
2025-06-30 16:00:00.002000+00:00,BTCUSDT,4.923e-05
2025-07-01 00:00:00.007000+00:00,BTCUSDT,1.053e-05
2025-07-01 08:00:00.002000+00:00,BTCUSDT,4.334e-05
2025-07-01 16:00:00+00:00,BTCUSDT,1.109e-05
2025-07-02 00:00:00.001000+00:00,BTCUSDT,1.807e-05
2025-07-02 08:00:00+00:00,BTCUSDT,3.403e-05
2025-07-02 16:00:00.003000+00:00,BTCUSDT,4.13e-05
2025-07-03 00:00:00.006000+00:00,BTCUSDT,4.871e-05
2025-07-03 08:00:00.003000+00:00,BTCUSDT,3.562e-05
2025-07-03 16:00:00.003000+00:00,BTCUSDT,5.028e-05
2025-07-04 00:00:00.005000+00:00,BTCUSDT,5.23e-05
2025-07-04 08:00:00.003000+00:00,BTCUSDT,5.009e-05
2025-07-04 16:00:00.001000+00:00,BTCUSDT,1.797e-05
2025-07-05 00:00:00.004000+00:00,BTCUSDT,1.066e-05
2025-07-05 08:00:00.009000+00:00,BTCUSDT,3.055e-05
2025-07-05 16:00:00.006000+00:00,BTCUSDT,4.005e-05
2025-07-06 00:00:00.001000+00:00,BTCUSDT,1.941e-05
2025-07-06 08:00:00.002000+00:00,BTCUSDT,1.665e-05
2025-07-06 16:00:00.004000+00:00,BTCUSDT,1.028e-05
2025-07-07 00:00:00+00:00,BTCUSDT,2.36e-05
