month,candidate_id,score,family,rule,leverage,lookback,threshold_bps,hard_pass_target_years_relaxed,hard_pass_complete_years_relaxed,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,orders,turnover,selected_month_count,selected_candidate_count,symbol,prev_candidate_return_pct,prev_candidate_dd_pct
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback1536_threshold_bps0,6.086628989316894,single_symbol,symbol_reversal,3.0,1536,0,False,False,-89.21174785271407,-68.3971087944504,-36.174860393043375,-48.724056771863886,-48.724056771863886,-99.98955996724791,563,3132.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback1536_threshold_bps200,6.086628989316894,single_symbol,symbol_reversal,3.0,1536,200,False,False,-88.22054677996867,-59.37323633498514,-49.56444186033399,-34.40460277096793,-49.56444186033399,-99.99104916455302,1170,3510.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback1536_threshold_bps20,6.086628989316894,single_symbol,symbol_reversal,3.0,1536,20,False,False,-88.11672808368098,-69.20596265611269,-47.52987755285909,-48.37128321063001,-48.37128321063001,-99.9916602393478,996,3258.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback1536_threshold_bps100,6.086628989316894,single_symbol,symbol_reversal,3.0,1536,100,False,False,-88.62496028591183,-66.85656069469348,-60.76456306770351,-40.66523767952135,-60.76456306770351,-99.99379339598455,1157,3480.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback1536_threshold_bps50,6.086628989316894,single_symbol,symbol_reversal,3.0,1536,50,False,False,-89.26621299132731,-71.9958703070539,-52.04431727361414,-45.57877481250483,-52.04431727361414,-99.99437539311636,1105,3342.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps400,6.086628989316894,single_symbol,symbol_reversal,3.0,768,400,False,False,-91.85604464342742,-91.95182925798002,-70.2374488294594,-52.70537635609762,-70.2374488294594,-99.99992477971423,2154,6465.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps200,6.086628989316894,single_symbol,symbol_reversal,3.0,768,200,False,False,-96.09709283283826,-95.07072241677228,-87.34899424106561,-63.0413763644516,-87.34899424106561,-99.99999787673288,2516,7551.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps20,6.086628989316894,single_symbol,symbol_reversal,3.0,768,20,False,False,-97.17910512072866,-93.71326970442834,-96.27359985786808,-64.40382439627857,-96.27359985786808,-99.9999989949552,2583,8472.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps50,6.086628989316894,single_symbol,symbol_reversal,3.0,768,50,False,False,-97.24206628697804,-93.39473476463736,-93.14105124689912,-64.41636694764588,-93.14105124689912,-99.9999991080474,2598,7890.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps0,6.086628989316894,single_symbol,symbol_reversal,3.0,768,0,False,False,-97.90338452397243,-93.14601014833146,-96.83555809190594,-61.78008259961369,-96.83555809190594,-99.99999920114588,1541,8982.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback768_threshold_bps100,6.086628989316894,single_symbol,symbol_reversal,3.0,768,100,False,False,-96.94903815383816,-95.39187678948193,-91.63953157979832,-65.29809213392632,-91.63953157979832,-99.999999219401,2634,7914.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps400,6.086628989316894,single_symbol,symbol_reversal,3.0,384,400,False,False,-96.19999297058428,-97.0405403165315,-90.49488809298984,-41.384462608857085,-90.49488809298984,-99.9999999961495,2517,7554.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps200,6.086628989316894,single_symbol,symbol_reversal,3.0,384,200,False,False,-98.47235088409889,-99.49713574451955,-96.44594172220972,-46.52484098006927,-96.44594172220972,-99.99999999999145,3685,11058.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps100,6.086628989316894,single_symbol,symbol_reversal,3.0,384,100,False,False,-99.45763680823448,-99.65049103407108,-98.39292400985585,-57.59092882020893,-98.39292400985585,-99.99999999999967,4466,13431.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps0,6.086628989316894,single_symbol,symbol_reversal,3.0,384,0,False,False,-99.47042640576768,-99.65764459793787,-98.3361827750403,-68.54349329887282,-98.3361827750403,-99.99999999999984,2741,16188.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps20,6.086628989316894,single_symbol,symbol_reversal,3.0,384,20,False,False,-99.6600167517562,-99.65586924395924,-99.04276956683752,-60.87728021430892,-99.04276956683752,-99.9999999999999,5011,16212.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev3p0_symbolBTCUSDT_lookback384_threshold_bps50,6.086628989316894,single_symbol,symbol_reversal,3.0,384,50,False,False,-99.69280890797876,-99.67565446925124,-99.13464208150044,-44.2859145017705,-99.13464208150044,-99.99999999999994,4964,15048.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps400,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,400,False,False,-69.49189807052181,-55.887430947758496,-23.45807829706188,-17.37377984675569,-23.45807829706188,-99.77633377062612,1028,2056.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps0,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,0,False,False,-77.33787004814006,-53.60357221705129,-25.8699120098141,-35.93672961125151,-35.93672961125151,-99.77828185279093,563,2088.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps200,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,200,False,False,-75.97020378056754,-45.146018992005125,-36.63863070400731,-24.50545402827081,-36.63863070400731,-99.79990216853034,1170,2340.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps20,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,20,False,False,-75.8292186394686,-54.39864423953846,-34.94589318094191,-35.64323274660626,-35.64323274660626,-99.80911620626784,996,2172.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps100,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,100,False,False,-76.5233956397048,-52.107771174184926,-46.40565154741081,-29.388928033744143,-46.40565154741081,-99.84323972186216,1157,2320.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps50,6.006628989316894,single_symbol,symbol_reversal,2.0,1536,50,False,False,-77.41420845397164,-57.19629257631183,-38.73298537828668,-33.3430338351727,-38.73298537828668,-99.85319930352914,1105,2228.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps400,6.006628989316894,single_symbol,symbol_reversal,2.0,768,400,False,False,-81.21158016137593,-81.3591896680354,-55.42273320027413,-39.29732226566741,-55.42273320027413,-99.9917290260577,2154,4310.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps200,6.006628989316894,single_symbol,symbol_reversal,2.0,768,200,False,False,-88.49397055800843,-86.55619564754143,-74.79906220879961,-48.49960900118872,-74.79906220879961,-99.99923322180511,2516,5034.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps20,6.006628989316894,single_symbol,symbol_reversal,2.0,768,20,False,False,-90.73331070634951,-84.18934412546506,-88.84354224776155,-49.77319413877373,-88.84354224776155,-99.99953428136746,2583,5648.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps50,6.006628989316894,single_symbol,symbol_reversal,2.0,768,50,False,False,-90.8717144790008,-83.6596944089825,-83.24394777287924,-49.78499333318096,-83.24394777287924,-99.99956990817924,2598,5260.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps0,6.006628989316894,single_symbol,symbol_reversal,2.0,768,0,False,False,-92.39651795390296,-83.25202497050813,-89.99543788503846,-47.3344655104189,-89.99543788503846,-99.99960038204922,1541,5988.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback768_threshold_bps100,6.006628989316894,single_symbol,symbol_reversal,2.0,768,100,False,False,-90.23607313534536,-87.14665824505279,-80.88003584090748,-50.61797424958628,-80.88003584090748,-99.99960649342722,2634,5276.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps400,6.006628989316894,single_symbol,symbol_reversal,2.0,384,400,False,False,-88.69710742502488,-90.43228378594677,-79.17245141558624,-29.96069402292817,-79.17245141558624,-99.99998859717982,2517,5036.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps200,6.006628989316894,single_symbol,symbol_reversal,2.0,384,200,False,False,-93.84328464267855,-97.06482605119014,-89.19023224734313,-34.11780555692832,-89.19023224734313,-99.99999980573148,3685,7372.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps100,6.006628989316894,single_symbol,symbol_reversal,2.0,384,100,False,False,-96.91306983071844,-97.6969384358622,-93.6316888401248,-43.55321983966955,-93.6316888401248,-99.99999997784094,4466,8954.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps0,6.006628989316894,single_symbol,symbol_reversal,2.0,384,0,False,False,-96.96179168469588,-97.72847184915136,-93.48265951015668,-53.74695513456666,-93.48265951015668,-99.9999999859902,2741,10792.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps20,6.006628989316894,single_symbol,symbol_reversal,2.0,384,20,False,False,-97.7389768312736,-97.7206256381304,-95.49171878454028,-46.50834609560624,-95.49171878454028,-99.99999999026808,5011,10808.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback384_threshold_bps50,6.006628989316894,single_symbol,symbol_reversal,2.0,384,50,False,False,-97.88680741298516,-97.80885082644852,-95.78500385871132,-32.29147740759003,-95.78500385871132,-99.99999999365268,4964,10032.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps400,5.926628989316894,single_symbol,symbol_reversal,1.0,1536,400,False,False,-44.76586025882345,-33.5827062789807,-12.511759817139922,-9.101034024998766,-12.511759817139922,-95.27066358382189,1028,1028.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps0,5.926628989316894,single_symbol,symbol_reversal,1.0,1536,0,False,False,-52.39524188501748,-31.885076684364744,-13.901168422454246,-19.96046577550036,-19.96046577550036,-95.2913043503632,563,1044.0,41,1,BTCUSDT,,
2025-06,single_symbol_symbol_reversal_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps200,5.926628989316894,single_symbol,symbol_reversal,1.0,1536,200,False,False,-50.97980393813949,-25.936526541084454,-20.40014491470937,-13.11240251236706,-20.40014491470937,-95.52677038964404,1170,1170.0,41,1,BTCUSDT,,
