month,symbol,ret_7d,abs_ret_7d,rv_7d,quote_7d,taker_imb_7d,fund_sum_7d,fund_abs_7d,premium_mean_7d,premium_abs_7d,mark_ret_7d,ret_30d,abs_ret_30d,rv_30d,quote_30d,taker_imb_30d,fund_sum_30d,fund_abs_30d,premium_mean_30d,premium_abs_30d,mark_ret_30d,history_days,abs_ret_7d_rank,abs_ret_30d_rank,rv_7d_rank,rv_30d_rank,fund_abs_7d_rank,fund_abs_30d_rank,premium_abs_7d_rank,premium_abs_30d_rank,quote_7d_rank,quote_30d_rank
2025-06,BTCUSDT,-0.03130279678469596,0.03130279678469596,0.04606296881393567,131539379173.17212,-0.022992842932931953,0.0012284000000000002,0.0012284000000000002,-0.0004421232589285714,0.0004421232589285714,-0.031335366602401014,0.07958479473322425,0.07958479473322425,0.10342593590345615,569835127208.3832,-0.0058362341257747466,0.00429942,0.00429942,-0.0004417232986111111,0.0004417232986111111,0.07940656890095757,30.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06,HYPEUSDT,-0.026519222448113527,0.026519222448113527,0.1025734276750672,295372918.30163,0.010887989267742702,-0.00024970999999999994,0.00024970999999999994,5.052253333333335e-05,5.052253333333335e-05,-0.0017324583473592866,-0.026519222448113527,0.026519222448113527,0.1025734276750672,295372918.30163,0.010887989267742702,-0.00024970999999999994,0.00024970999999999994,5.052253333333335e-05,5.052253333333335e-05,-0.0017324583473592866,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2025-07,BTCUSDT,0.01797405681671793,0.01797405681671793,0.034105348291349785,81968388245.7879,0.006776532003631864,0.00049308,0.00049308,-0.00048160360119047613,0.00048160360119047613,0.018117506169459206,0.02515227275001027,0.02515227275001027,0.09601469044981312,472260562053.8769,-0.0012317788602422201,0.0023555299999999998,0.0023555299999999998,-0.00047202496875,0.00047202496875,0.025339333118967994,60.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2025-07,HYPEUSDT,0.04382903959693531,0.04382903959693531,0.13484109231194008,2063019112.7265701,-0.025325938412396547,0.00234351,0.00234351,8.656802083333332e-05,8.656802083333332e-05,0.04351679303727772,0.1916289590981746,0.1916289590981746,0.3485602207208004,10724289906.69771,-0.015078070045674748,0.01604987,0.01604987,0.0003268445069444445,0.0003268445069444445,0.1922014098306392,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2025-08,BTCUSDT,-0.02063994257876774,0.02063994257876774,0.03916222020065158,102785721797.9007,-0.037958786740052666,0.0020569399999999997,0.0020569399999999997,-0.0002650961458333333,0.0002650961458333333,-0.02059844724084303,0.0905313578665123,0.0905313578665123,0.09052847717510283,474533584064.77246,-0.005140439521889603,0.007218210000000002,0.007218210000000002,-0.0002966662395833334,0.0002966662395833334,0.09057248400290245,91.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0
2025-08,HYPEUSDT,-0.023074687593503267,0.023074687593503267,0.1289707004996557,2031709058.9201999,-0.029950968259816246,0.0015142999999999999,0.0015142999999999999,-0.00022964080357142859,0.00022964080357142859,-0.023332247300583284,0.09726672935078227,0.09726672935078227,0.24987096557783586,7930825512.337379,-0.02438405197245159,0.0099836,0.0099836,3.206930902777776e-05,3.206930902777776e-05,0.09740825716064079,62.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2025-09,BTCUSDT,-0.04656605368282726,0.04656605368282726,0.04517351802885252,96418345884.6656,-0.02563265124392747,0.0012789100000000003,0.0012789100000000003,-0.0004395059523809524,0.0004395059523809524,-0.04660210450291272,-0.045981053235996494,0.045981053235996494,0.09199151336437347,427412290892.80164,-0.023116737003043585,0.005987000000000001,0.005987000000000001,-0.0003996173055555555,0.0003996173055555555,-0.046032578846722766,122.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2025-09,HYPEUSDT,-0.0447384344885704,0.0447384344885704,0.13730063781431048,3134831905.94788,-0.031104313369732867,0.0028632700000000007,0.0028632700000000007,0.0001390341369047619,0.0001390341369047619,-0.044609942046291685,0.16398128734469045,0.16398128734469045,0.2852589016142011,10402966614.95507,-0.03451623089158029,0.00862106,0.00862106,6.607011111111111e-05,6.607011111111111e-05,0.1633582658013412,93.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2025-10,BTCUSDT,0.017697759879911613,0.017697759879911613,0.0382187215820951,84144507446.9722,-0.005628942145571189,0.0008250099999999999,0.0008250099999999999,-0.00045331319940476186,0.00045331319940476186,0.01768990349672198,0.054642345643912626,0.054642345643912626,0.07701530118460329,363884873851.9729,-0.010385809019079826,0.00437436,0.00437436,-0.0004456468472222222,0.0004456468472222222,0.05461448830807567,152.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
2025-10,HYPEUSDT,0.009197407825086212,0.009197407825086212,0.16942983295630268,4175639950.3464503,-0.049382740318542465,0.00391607,0.00391607,0.000577488244047619,0.000577488244047619,0.00872883039525042,0.02236229142052345,0.02236229142052345,0.2546020037868249,13290414504.715761,-0.037598108755841825,0.019079079999999998,0.019079079999999998,0.0004958310173611111,0.0004958310173611111,0.02236229142052345,123.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
