eval_month,train_start_month,train_end_month,candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders,train_turnover,train_hard_ok,train_hard_ok_candidate_count
2023-01,2020-01,2022-12,92,8,4.0,0.02,0.04,1.0,36,73.05419577874916,3,-66.70121168284922,10,2192.0,False,0
2023-02,2020-01,2023-01,92,8,4.0,0.02,0.04,1.0,37,90.66215173509407,3,-66.70121168284922,10,2232.0,False,0
2023-03,2020-01,2023-02,92,8,4.0,0.02,0.04,1.0,38,96.31162946003676,3,-66.70121168284922,10,2260.0,False,0
2023-04,2020-01,2023-03,92,8,4.0,0.02,0.04,1.0,39,100.87762329244954,3,-66.70121168284922,10,2324.0,False,0
2023-05,2020-01,2023-04,92,8,4.0,0.02,0.04,1.0,40,103.72860522172269,3,-66.70121168284922,10,2452.0,False,0
2023-06,2020-01,2023-05,92,8,4.0,0.02,0.04,1.0,41,112.5514023360691,3,-66.70121168284922,10,2468.0,False,0
2023-07,2020-01,2023-06,92,8,4.0,0.02,0.04,1.0,42,124.69769967214668,3,-66.70121168284922,10,2490.0,False,0
2023-08,2020-01,2023-07,92,8,4.0,0.02,0.04,1.0,43,57.790258121810865,4,-66.70121168284922,10,2594.0,False,0
2023-09,2020-01,2023-08,92,8,4.0,0.02,0.04,1.0,44,94.67485158385598,4,-66.70121168284922,10,2658.0,False,0
2023-10,2020-01,2023-09,92,8,4.0,0.02,0.04,1.0,45,17.592140090637987,5,-66.70121168284922,10,2786.0,False,0
2023-11,2020-01,2023-10,92,8,4.0,0.02,0.04,1.0,46,20.587824395840748,5,-66.70121168284922,10,2802.0,False,0
2023-12,2020-01,2023-11,92,8,4.0,0.02,0.04,1.0,47,26.323729660869134,5,-66.70121168284922,10,2850.0,False,0
2024-01,2020-01,2023-12,92,8,4.0,0.02,0.04,1.0,48,35.047424417277064,5,-66.70121168284922,10,2866.0,False,0
2024-02,2020-01,2024-01,92,8,4.0,0.02,0.04,1.0,49,41.05540417689559,5,-66.70121168284922,10,2882.0,False,0
2024-03,2020-01,2024-02,92,8,4.0,0.02,0.04,1.0,50,54.68368488761837,5,-66.70121168284922,10,2916.0,False,0
2024-04,2020-01,2024-03,92,8,4.0,0.02,0.04,1.0,51,65.62005904245267,5,-66.70121168284922,10,2956.0,False,0
2024-05,2020-01,2024-04,92,8,4.0,0.02,0.04,1.0,52,101.93700368763787,5,-66.70121168284922,10,3060.0,False,0
2024-06,2020-01,2024-05,92,8,4.0,0.02,0.04,1.0,53,113.96177890360005,5,-66.70121168284922,10,3076.0,False,0
2024-07,2020-01,2024-06,92,8,4.0,0.02,0.04,1.0,54,122.00935961105488,5,-66.70121168284922,10,3098.0,False,0
2024-08,2020-01,2024-07,92,8,4.0,0.02,0.04,1.0,55,147.83617089425164,5,-66.70121168284922,10,3114.0,False,0
2024-09,2020-01,2024-08,92,8,4.0,0.02,0.04,1.0,56,169.86452057816953,5,-66.70121168284922,10,3146.0,False,0
2024-10,2020-01,2024-09,92,8,4.0,0.02,0.04,1.0,57,183.45703754670484,5,-66.70121168284922,10,3170.0,False,0
2024-11,2020-01,2024-10,92,8,4.0,0.02,0.04,1.0,58,198.21137365452853,5,-66.70121168284922,10,3192.0,False,0
2024-12,2020-01,2024-11,92,8,4.0,0.02,0.04,1.0,59,207.67021686476585,5,-66.70121168284922,10,3208.0,False,0
2025-01,2020-01,2024-12,92,8,4.0,0.02,0.04,1.0,60,224.42782252799614,5,-66.70121168284922,10,3250.0,False,0
2025-02,2020-01,2025-01,92,8,4.0,0.02,0.04,1.0,61,248.30941657927954,5,-66.70121168284922,10,3278.0,False,0
2025-03,2020-01,2025-02,92,8,4.0,0.02,0.04,1.0,62,267.40124275816925,5,-66.70121168284922,10,3306.0,False,0
2025-04,2020-01,2025-03,92,8,4.0,0.02,0.04,1.0,63,277.3411572026329,5,-66.70121168284922,10,3322.0,False,0
2025-05,2020-01,2025-04,92,8,4.0,0.02,0.04,1.0,64,278.36853987978276,5,-66.70121168284922,10,3368.0,False,0
2025-06,2020-01,2025-05,92,8,4.0,0.02,0.04,1.0,65,304.2341339628437,5,-66.70121168284922,10,3384.0,False,0
2025-07,2020-01,2025-06,106,8,6.0,0.04,0.04,0.25,66,81.28858695808975,5,-80.78490013617285,10,4398.0,False,0
2025-08,2020-01,2025-07,106,8,6.0,0.04,0.04,0.25,67,87.54403351984921,5,-80.78490013617285,10,4435.5,False,0
2025-09,2020-01,2025-08,106,8,6.0,0.04,0.04,0.25,68,36.1642279066056,6,-80.78490013617285,10,4677.5,False,0
2025-10,2020-01,2025-09,106,8,6.0,0.04,0.04,0.25,69,17.631056611660224,7,-80.78490013617285,10,4905.5,False,0
2025-11,2020-01,2025-10,106,8,6.0,0.04,0.04,0.25,70,26.821750258596676,7,-80.78490013617285,10,4919.5,False,0
2025-12,2020-01,2025-11,106,8,6.0,0.04,0.04,0.25,71,31.438705832322444,7,-80.78490013617285,10,4945.5,False,0
2026-01,2020-01,2025-12,106,8,6.0,0.04,0.04,0.25,72,38.72117591118922,7,-80.78490013617285,10,4959.5,False,0
2026-02,2020-01,2026-01,106,8,6.0,0.04,0.04,0.25,73,45.599172759355724,7,-80.78490013617285,10,4985.0,False,0
2026-03,2020-01,2026-02,106,8,6.0,0.04,0.04,0.25,74,49.16897353690841,7,-80.78490013617285,10,5011.0,False,0
2026-04,2020-01,2026-03,106,8,6.0,0.04,0.04,0.25,75,57.65451019929439,7,-80.78490013617285,10,5025.0,False,0
2026-05,2020-01,2026-04,106,8,6.0,0.04,0.04,0.25,76,65.96181853598996,7,-80.78490013617285,10,5111.0,False,0
