year,expected_rows,official_rows,filled_rows,calendar_fill_rows,duplicate_rows_after_fill,non_15m_gap_rows_after_fill,official_non_15m_gap_rows,first_timestamp,last_timestamp,ready
2020,35136,35136,35136,0,0,0,0,2020-01-01T00:00:00+00:00,2020-12-31T23:45:00+00:00,True
2021,35040,35040,35040,0,0,0,0,2021-01-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,True
2022,35040,35040,35040,0,0,0,0,2022-01-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,True
2023,35040,35040,35040,0,0,0,0,2023-01-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,True
2024,35136,35136,35136,0,0,0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:45:00+00:00,True
