scenario_id,description,hard_pass_complete_years,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,orders,turnover,exposure_pct,annualized_sharpe,win_rate_pct,profit_factor
round_trip_cost_0p2pct,round-trip cost 0.2%,False,-21.962351846160345,140.2325138208937,-5.27893948240118,-0.3461109252179351,-21.962351846160345,6,-39.595618471559334,10,-58.38883094747598,634,2171.0,13.937616947340285,0.28791841085445835,49.60143841774048,1.0463336525884708
round_trip_cost_0p3pct,round-trip cost 0.3%,False,-33.203204849038784,112.64212602693698,-46.49887694043213,-6.778348173027437,-46.49887694043213,7,-43.34038813276101,10,-73.34849775119527,660,2255.0,14.608393477679765,-0.16775643514410346,49.42246111619396,1.0333676183257365
round_trip_cost_0p4pct,round-trip cost 0.4%,False,-46.1144815901494,109.96292025616299,-64.18648750591967,-19.663022211890723,-64.18648750591967,6,-49.89688602129524,10,-80.36492832797761,692,2473.0,15.399458700882118,-0.5003036150753287,49.44399240574993,1.028166657298311
round_trip_cost_0p6pct,round-trip cost 0.6%,False,-89.64362382650916,-44.722663623456725,-82.83490319451576,-31.771176305800818,-89.64362382650916,11,-62.43460948719216,10,-99.41636491536842,802,2964.5,17.89210772520716,-1.912353889089173,49.302021569634434,0.9854846970470648
delay_1_bars,extra signal delay 1 closed 15m bars,False,-31.991696496219447,119.55904362456246,5.467733471027136,21.718422725052022,-31.991696496219447,7,-37.66437903540457,10,-61.220886145819506,618,2060.0,13.409683239775461,0.3743085381508483,49.560829751448324,1.0512272245537022
delay_2_bars,extra signal delay 2 closed 15m bars,False,-34.83215315736858,104.26399792099473,9.346497578153956,24.36787805311196,-34.83215315736858,6,-37.31344453295854,10,-61.57179308346878,622,2092.0,13.444767441860463,0.34428724676378136,49.661385523454484,1.0500762864992426
delay_4_bars,extra signal delay 4 closed 15m bars,False,-37.96459320488803,119.61613750555644,15.81706886252916,9.101663590085018,-37.96459320488803,6,-38.7875268322223,10,-64.42971738792058,588,1914.5,12.85084202085004,0.3292049034796315,49.746489859594384,1.0490595506222882
funding_1bp_8h,funding drag 1bp per 8h on notional exposure,False,-21.226849737849818,139.14048466244634,-7.382414943595272,-2.5346604271894835,-21.226849737849818,5,-40.11736015477203,10,-58.92165413463615,638,2187.0,14.0470462443197,0.2661085500123581,49.56588962892483,1.0448213706870924
funding_3bp_8h,funding drag 3bp per 8h on notional exposure,False,-18.870504610177985,126.5084907960035,-17.826230387220864,4.962330863160647,-18.870504610177985,6,-41.14736284504617,10,-59.96691977050092,648,2231.0,14.259222133119486,0.2275860557839304,49.38488576449912,1.0424476284152424
funding_5bp_8h,funding drag 5bp per 8h on notional exposure,False,-26.06761294738028,122.70280763207504,-30.989433129691125,0.37590911431328866,-30.989433129691125,5,-42.159649122939115,10,-65.40755422842923,650,2285.0,14.267575514568298,0.06457853304565175,49.27400468384075,1.0333847368140792
dynamic_vol_slip_min1bp_k10pct,"extra per-side slippage max(1bp, 10% of current NATR_30)",False,-23.663810802589524,112.28180196454494,-14.075595456230005,-4.327057335461992,-23.663810802589524,5,-41.84409957961748,10,-60.768997298334114,636,2155.0,14.067094359796844,0.14318767083218303,49.51306413301663,1.0462480894619575
