month,net_return_pct,gross_before_cost_return_pct,cost_log_pct,net_log,gross_log,cost_log,turnover,orders,active_bars,exposure_pct,avg_abs_active_position,long_gross_log,short_gross_log
2024-01,9.182927517177975,10.777613499418992,1.4500000000000002,0.08785452368233572,0.10235452368233666,0.0145,14.5,12,429,14.415322580645162,0.17708333333333334,0.09285744046940225,0.00949708321293441
2024-02,4.285429590446954,7.032406717819462,2.6,0.04196146914068759,0.06796146914068535,0.026000000000000002,26.0,12,542,19.468390804597703,0.12095905172413793,0.010060684063013081,0.05790078507767227
2024-03,10.495874527589555,14.546194342153385,3.5999999999999996,0.09980799968081328,0.13580799968081436,0.036,36.0,12,426,14.31451612903226,0.49294354838709675,0.22966867655598655,-0.09386067687517219
2024-04,6.611159200400163,9.200778148065547,2.4,0.06401800319536027,0.08801800319536035,0.023999999999999997,24.0,12,411,14.270833333333332,0.290625,-0.11264464770123972,0.20066265089660007
2024-05,12.294946268323947,14.334556726088588,1.7999999999999998,0.11595867268067274,0.13395867268067185,0.018,18.0,12,143,4.80510752688172,0.07728494623655914,-0.015723226787002886,0.14968189946767474
2024-06,5.040315335024093,7.591777985842918,2.4,0.04917404604901189,0.07317404604901157,0.024,24.0,12,542,18.819444444444443,0.42465277777777777,0.09892318159457858,-0.025749135545567015
2024-07,10.834375987424316,13.526578213367667,2.4,0.10286679280079061,0.12686679280079183,0.024,24.0,12,730,24.52956989247312,0.4519489247311828,-0.03162185047945165,0.15848864328024348
2024-08,22.0734931673636,24.29071114158228,1.8000000000000003,0.19945308038448398,0.21745308038448563,0.018000000000000002,18.0,12,468,15.725806451612904,0.21975806451612903,-0.014717924688470774,0.2321710050729564
2024-09,3.8169136963993378,17.053243333377964,12.000000000000002,0.03745871652161065,0.15745871652161014,0.12000000000000001,120.0,30,1594,55.34722222222223,2.213888888888889,0.11457698208712941,0.042881734434480734
2024-10,5.122879921560153,17.111907365146294,10.8,0.049959764887012065,0.15795976488701058,0.10800000000000001,108.0,18,932,31.317204301075268,1.8790322580645162,-0.06835209717306867,0.22631186206007925
2024-11,8.936504949234813,10.52759177340452,1.4500000000000002,0.08559500310686151,0.10009500310686104,0.0145,14.5,12,278,9.652777777777779,0.04010416666666667,-0.010424764755378568,0.1105197678622396
2024-12,-6.449800499963276,4.2193888334699725,10.8,-0.06667200072043522,0.04132799927956299,0.10800000000000001,108.0,18,474,15.92741935483871,0.9556451612903226,0.008871508393323069,0.03245649088623992
