timestamp,close,active_position,position,raw_return_pct,gross_log_pct,cost_log_pct,strategy_log_return,cum_month_log,cum_month_orders,ret_64_bps,trend_close_ema_gap_bps_60,trend_adx_30
2024-12-05 22:30:00+00:00,96253.3,-6.0,0.0,2.286245017369626,-13.563012372648231,0.6,-0.1416301237264823,-0.06667200072043533,18,-562.2268655018814,243.2318959469626,12.822200541980507
2024-12-05 15:15:00+00:00,102125.7,6.0,6.0,-1.394896611386942,-8.428300328234073,0.0,-0.0842830032823407,-0.18253230617670962,15,315.7376926643374,291.0813234129961,11.19453698169584
2024-12-05 05:30:00+00:00,102225.0,6.0,6.0,-1.2357964563724178,-7.46097551801661,0.0,-0.0746097551801661,-0.1767011536835265,15,676.2513590092523,291.0813234129961,11.19453698169584
2024-12-05 18:45:00+00:00,100258.2,6.0,-6.0,-0.9638075782915312,-5.810893586602006,1.2,-0.07010893586602,-0.3052656010707808,17,-126.29430986226265,474.9253381162965,13.022518020828011
2024-12-04 01:30:00+00:00,96614.4,-6.0,6.0,0.859263837112545,-5.133559065096804,1.2,-0.063335590650968,-0.2641317412228119,11,138.86921233987158,-10.86218976668718,13.08002890551331
2024-12-04 02:00:00+00:00,95468.6,6.0,6.0,-0.8622113025174905,-5.195699094766937,0.0,-0.0519569909476693,-0.33571414615423106,11,1.7076592182685424,-10.86218976668718,13.08002890551331
2024-12-02 14:30:00+00:00,96761.7,-6.0,-6.0,0.8397607651015937,-5.01752634489776,0.0,-0.0501752634489776,-0.16748520854364432,5,-79.7929054746771,-37.599106263108695,15.35007208787977
2024-12-02 18:00:00+00:00,95419.9,-6.0,-6.0,0.8125657680652765,-4.855693366312863,0.0,-0.0485569336631286,-0.08370059209229762,5,-252.52344678160287,156.25859875260772,15.14765516248769
2024-12-05 15:30:00+00:00,101420.1,6.0,6.0,-0.6909132568981291,-4.159866681982649,0.0,-0.0415986668198264,-0.22413097299653603,15,261.38064099671567,291.0813234129961,11.19453698169584
2024-12-04 21:30:00+00:00,97921.7,6.0,6.0,-0.6816858666567893,-4.104119749541724,0.0,-0.0410411974954172,-0.4347496728412054,15,156.7042730645607,159.59297694376318,11.520232404468658
2024-12-05 20:30:00+00:00,99017.9,-6.0,-6.0,0.6603753444961225,-3.9492265126938264,0.0,-0.0394922651269382,-0.23057630218332442,17,-364.9561879369656,243.2318959469626,12.822200541980507
2024-12-03 15:00:00+00:00,95892.2,-6.0,-6.0,0.6228842816158764,-3.7257142540980226,0.0,-0.0372571425409802,-0.207112813778804,9,33.57702573889787,-59.795157300133184,13.562287827396723
2024-12-03 14:30:00+00:00,94748.7,-6.0,-6.0,0.6046982773265874,-3.6172638869611973,0.0,-0.0361726388696119,-0.1351336919422981,9,-71.3926438226975,-59.795157300133184,13.562287827396723
2024-12-02 03:45:00+00:00,96549.8,6.0,6.0,-0.5887464786412222,-3.5429185399497243,0.0,-0.0354291853994972,-0.11746033884228103,3,-63.18203197284489,190.11701909610323,16.171499881967378
2024-12-03 14:00:00+00:00,94328.9,-6.0,-6.0,0.5905618868974782,-3.5329494327886124,0.0,-0.0353294943278861,-0.10849061905753149,9,-116.42904816738576,-59.795157300133184,13.562287827396723
2024-12-03 02:30:00+00:00,96228.0,-6.0,6.0,0.3797045814905031,-2.273913139606165,1.2,-0.0347391313960616,-0.1462999332351216,7,129.84962287290404,28.34616039859128,14.57356904123228
2024-12-03 14:45:00+00:00,95298.6,-6.0,-6.0,0.5803773561008141,-3.4721979295525784,0.0,-0.0347219792955257,-0.1698556712378238,9,-14.229669804597389,-59.795157300133184,13.562287827396723
2024-12-04 16:00:00+00:00,95276.3,6.0,6.0,-0.5601536325967937,-3.3703702588038453,0.0,-0.0337037025880384,-0.3478119835370063,11,-76.86355053361792,12.74786456249899,11.54489140403286
2024-12-05 06:00:00+00:00,102029.8,6.0,6.0,-0.5477051262430144,-3.2952631804104016,0.0,-0.032952631804104,-0.18816918632269153,15,674.2368842005698,291.0813234129961,11.19453698169584
2024-12-04 14:45:00+00:00,95880.1,6.0,6.0,-0.5396248766860956,-3.246516665300092,0.0,-0.0324651666530009,-0.3099078165979454,11,-31.688965731626606,-10.86218976668718,13.08002890551331
2024-12-03 06:45:00+00:00,95701.4,6.0,6.0,-0.530703030806956,-3.192697569588887,0.0,-0.0319269756958888,-0.1792246225063728,7,-69.80091124067722,52.223694110384855,14.300797048025611
