timestamp,close,active_position,position,turnover,order_count,cost_log,strategy_log_return,cum_month_log,cum_month_orders,ret_64_bps,trend_close_ema_gap_bps_60,trend_adx_30
2024-12-01 00:00:00+00:00,96632.4,0.0,-6.0,6.0,1,0.006,-0.006,-0.006,1,-29.097843044996186,134.14623750096055,16.756288646551326
2024-12-01 16:30:00+00:00,97395.0,-6.0,6.0,12.0,2,0.012,-0.0182623151183061,-0.06516471551181544,3,108.86792511580535,190.11701909610323,16.171499881967378
2024-12-02 06:45:00+00:00,96349.9,6.0,-6.0,12.0,2,0.012,-0.0123113570601982,-0.14189582142047524,5,-102.02068972602119,104.57652692709374,16.02601691464446
2024-12-03 02:30:00+00:00,96228.0,-6.0,6.0,12.0,2,0.012,-0.0347391313960616,-0.1462999332351216,7,129.84962287290404,28.34616039859128,14.57356904123228
2024-12-03 07:15:00+00:00,95670.0,6.0,-6.0,12.0,2,0.012,-0.0137683188870947,-0.1931935687720179,9,-108.5710209149915,52.223694110384855,14.300797048025611
2024-12-04 01:30:00+00:00,96614.4,-6.0,6.0,12.0,2,0.012,-0.063335590650968,-0.2641317412228119,11,138.86921233987158,-10.86218976668718,13.08002890551331
2024-12-04 16:15:00+00:00,95063.4,6.0,-6.0,12.0,2,0.012,-0.0254223236951562,-0.3732343072321625,13,-101.72802279040938,12.74786456249899,11.54489140403286
2024-12-04 19:30:00+00:00,96880.9,-6.0,6.0,12.0,2,0.012,-0.0201185443629969,-0.4988644169190109,15,102.22042406408116,12.74786456249899,11.54489140403286
2024-12-05 18:45:00+00:00,100258.2,6.0,-6.0,12.0,2,0.012,-0.07010893586602,-0.3052656010707808,17,-126.29430986226265,474.9253381162965,13.022518020828011
2024-12-05 22:30:00+00:00,96253.3,-6.0,0.0,6.0,1,0.006,-0.1416301237264823,-0.06667200072043533,18,-562.2268655018814,243.2318959469626,12.822200541980507
