phase,bars,net_return_pct,gross_before_cost_return_pct,cost_log_pct,turnover,orders,max_cum_month_log_pct,min_cum_month_log_pct
all_month,2976,-6.449800499963276,4.2193888334699725,10.8,108.0,18,7.495812300604696,-49.88644169190109
through_10th_order,295,-23.21276274524098,-17.973821627102595,6.6000000000000005,66.0,11,4.309697262953821,-26.41317412228119
after_10th_order,2681,21.830401567467227,27.056253138699816,4.2,42.0,7,7.495812300604696,-49.88644169190109
