source_id,source_name,family,rule,symbol,leverage,months,total_log_return,mean_return_pct,min_return_pct,max_return_pct,total_orders,candidate_count,total_return_pct
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,AVAXUSDT,4.0,6,5.415691993630011,156.195349564223,60.17941264695368,247.2500366377368,356,3,22390.812683292956
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,SOLUSDT,4.0,5,4.710425283751333,166.9622726552812,90.10700328812976,319.5755017664935,435,5,11009.939862907631
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,AVAXUSDT,4.0,4,3.384719301537786,139.8444187790313,73.42191743939996,234.56228936700305,768,3,2850.970822376495
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,LINKUSDT,4.0,4,3.0807850224175333,123.06629134000327,60.29111392262767,217.7691746695851,775,3,2077.548993602118
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,XRPUSDT,4.0,3,6.618328600424522,2146.029725587873,250.96480401943407,5933.561822805518,252,2,74769.26861260913
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,DOGEUSDT,4.0,3,2.947630042919676,169.30280226813363,138.13466679897877,218.3342921608589,167,2,1806.072705172689
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,ADAUSDT,4.0,3,2.928388129319061,291.2685225180198,25.642113970043635,778.8300334125375,259,2,1769.7468293467812
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,SOLUSDT,4.0,3,2.8625838341933445,163.2470561477964,111.07840259872836,217.13985647369356,128,3,1650.6702965497172
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,XRPUSDT,4.0,2,2.86170494543667,374.2563125628928,150.6365075371571,597.8761175886285,357,2,1649.1323280600418
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,LINKUSDT,4.0,2,2.011057769774817,173.53307777630974,163.131891204675,183.9342643479445,201,2,647.1215995568276
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,ETHUSDT,4.0,2,1.7853645956924056,152.5121378395039,88.13164430955676,216.89263136945104,115,1,496.1753180911704
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,ETHUSDT,4.0,2,1.6434404660345114,129.4344192030394,99.25511697986651,159.6137214262123,226,2,417.293624323584
strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,ADAUSDT,4.0,1,0.5120357560974612,66.86847747284112,66.86847747284112,66.86847747284112,239,1,66.86847747284112
strategy_33,33号多币种15m免费期货候选池,cross_section,long_strong_short_weak,,4.0,1,0.249404776258286,28.32613616891606,28.32613616891606,28.32613616891606,34,1,28.326136168916037
