candidate_id,family,rule,leverage,lookback,threshold_bps,symbol,source_id,source_name,global_candidate_id,trigger_window,trend_window,trigger_threshold_bps,trend_threshold_bps,hold_bars,volume_z
single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,2.0,384.0,20.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev2p0_symbolAVAXUSDT_lookback384_threshold_bps20,,,,,,
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,4.0,1536.0,20.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,,,,,,
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,1536.0,100.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps100,,,,,,
single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,1536.0,50.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps50,,,,,,
single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,1536.0,100.0,XRPUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps100,,,,,,
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,384.0,50.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps50,,,,,,
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,384.0,20.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,,,,,,
single_symbol_symbol_reversal_lev1p0_symbolETHUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,1.0,1536.0,100.0,ETHUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev1p0_symbolETHUSDT_lookback1536_threshold_bps100,,,,,,
single_symbol_symbol_reversal_lev1p0_symbolBNBUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,1.0,1536.0,20.0,BNBUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_reversal_lev1p0_symbolBNBUSDT_lookback1536_threshold_bps20,,,,,,
single_symbol_symbol_momentum_lev1p0_symbolAVAXUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,1.0,1536.0,20.0,AVAXUSDT,strategy_33,33号多币种15m免费期货候选池,strategy_33::single_symbol_symbol_momentum_lev1p0_symbolAVAXUSDT_lookback1536_threshold_bps20,,,,,,
